Bakteri,Frekuensi_A,Frekuensi_T,Frekuensi_G,Frekuensi_C,GC_Content(%),Berat_Molekul(g/mol)
Ideonella sakaiensis,367,284,487,355,56.4,464323.6
Deinococcus radiodurans,362,289,474,341,55.59,455950.2
Alcanivorax borkumensis,374,303,476,341,54.69,464625.8
Cupriavidus metallidurans,378,299,477,338,54.59,464123.4
Pseudomonas putida,386,321,476,344,53.7,474727.4
